date,rate
2026-07-24,96.0
2026-07-23,96.1
2026-07-22,95.95
2026-07-21,95.8
2026-07-20,96.0
2026-07-18,95.87
2026-07-17,95.9
2026-07-16,95.86
2026-07-14,95.7
2026-07-13,95.32
2026-07-10,94.86
2026-07-09,95.0
2026-07-08,94.75
2026-07-07,94.5
2026-07-06,94.82
2026-07-04,94.7
2026-07-03,94.75
2026-07-02,94.8
2026-07-01,94.6
2026-06-29,93.95
2026-06-25,94.0
2026-06-24,94.5
2026-06-23,94.3
2026-06-22,94.2
2026-06-20,93.9
2026-06-19,93.95
2026-06-18,93.85
2026-06-17,94.05
2026-06-16,94.2
2026-06-15,94.3
2026-06-12,94.75
2026-06-11,95.15
2026-06-10,94.85
2026-06-09,95.05
2026-06-08,95.3
2026-06-06,94.55
2026-06-05,94.55
2026-06-04,95.3
2026-06-03,95.2
2026-06-02,94.8
2026-06-01,94.4
2026-05-30,94.6
2026-05-29,94.6
2026-05-28,95.3
2026-05-27,95.35
2026-05-26,95.3
2026-05-25,94.95
2026-05-22,95.45
2026-05-21,95.95
2026-05-20,96.45
2026-05-19,96.1
2026-05-18,95.78
2026-05-16,95.55
2026-05-15,95.6
2026-05-14,95.3
2026-05-13,95.2
2026-05-12,95.25
2026-05-11,94.8
2026-05-08,94.0
2026-05-07,93.7
2026-05-06,94.25
2026-05-05,94.9
2026-05-04,94.55
2026-05-02,94.5
2026-04-30,94.6
2026-04-29,94.35
2026-04-28,94.05
2026-04-27,93.9
2026-04-24,93.85
2026-04-23,93.65
2026-04-22,93.3
2026-04-21,93.08
2026-04-20,92.8
2026-04-18,92.2
2026-04-17,92.5
2026-04-16,92.9
2026-04-15,92.95
2026-04-13,92.9
2026-04-10,92.4
2026-04-09,92.45
2026-04-08,91.9
2026-04-07,92.25
2026-04-06,92.15
2026-04-04,92.5
2026-04-02,92.15
2026-03-31,93.15
2026-03-30,94.25
2026-03-27,94.35
2026-03-25,93.55
2026-03-24,93.35
2026-03-23,93.45
2026-03-20,92.95
2026-03-18,92.15
2026-03-17,91.95
2026-03-16,92.03
2026-03-13,91.93
2026-03-12,91.9
2026-03-11,91.5
2026-03-10,91.35
2026-03-09,91.8
2026-03-07,91.5
2026-03-06,91.23
2026-03-05,91.2
2026-03-04,91.82
2026-03-02,90.95
2026-02-27,90.56
2026-02-26,90.45
2026-02-25,90.54
2026-02-24,90.53
2026-02-23,90.3
2026-02-21,90.35
2026-02-20,90.52
2026-02-18,90.2
2026-02-17,90.3
2026-02-16,90.2
2026-02-13,90.25
2026-02-12,90.1
2026-02-11,90.1
2026-02-10,90.25
2026-02-09,90.15
2026-02-07,90.2
2026-02-06,90.4
2026-02-05,90.05
2026-02-04,90.0
2026-02-03,89.75
2026-02-02,91.2
2026-01-31,91.35
2026-01-30,91.5
2026-01-29,91.58
2026-01-28,91.2
2026-01-27,91.35
2026-01-23,91.45
2026-01-22,91.1
2026-01-21,91.3
2026-01-20,90.5
2026-01-19,90.3
2026-01-17,90.35
2026-01-16,90.3
2026-01-14,89.75
2026-01-13,89.85
2026-01-12,89.8
2026-01-09,89.65
2026-01-08,89.6
2026-01-07,89.5
2026-01-06,89.82
2026-01-05,89.8
2026-01-03,89.6
2026-01-02,89.7
2026-01-01,89.5
2025-12-31,89.47
2025-12-30,89.5
2025-12-29,89.5
