date,open,high,low,close,dividend
2015-01-02,45.02,45.19,43.97,44.33,0.0
2015-01-05,44.16,44.25,43.58,43.59,0.12
2015-01-06,44.06,44.18,42.99,43.14,0.0
2015-01-07,43.33,43.52,43.01,43.15,0.0
2015-01-08,43.63,43.94,43.38,43.41,0.0
2015-01-09,43.98,44.1,43.26,43.39,0.0
2015-01-12,43.26,43.77,42.86,43.27,0.0
2015-01-13,43.67,43.95,42.57,42.93,0.0
2015-01-14,42.46,43.17,42.46,43.06,0.0
2015-01-15,43.48,43.64,42.57,42.63,0.0
2015-01-16,42.49,43.62,42.25,43.51,0.0
2015-01-20,43.56,44.03,43.23,43.9,0.0
2015-01-21,43.69,43.93,43.21,43.49,0.0
2015-01-22,43.95,45.33,43.18,44.05,0.0
2015-01-23,43.98,44.54,43.92,44.19,0.0
2015-01-26,44.17,44.21,43.54,43.9,0.0
2015-01-27,43.01,43.87,42.58,43.4,0.0
2015-01-28,43.94,43.98,42.67,42.69,0.0
2015-01-29,42.82,43.02,42.32,42.86,0.0
2015-01-30,42.09,42.52,41.82,41.89,0.0
2015-02-02,42.21,42.71,41.56,42.68,0.0
2015-02-03,42.94,43.14,42.54,43.04,0.0
2015-02-04,42.97,43.16,42.32,42.42,0.0
2015-02-05,42.5,43.24,42.5,43.16,0.0
2015-02-06,43.26,43.47,42.88,42.98,0.0
2015-02-09,42.63,43.63,42.63,43.4,0.0
2015-02-10,43.79,44.06,43.56,43.99,0.0
2015-02-11,43.96,44.0,43.09,43.36,0.0
2015-02-12,43.48,44.06,43.41,43.89,0.0
2015-02-13,43.8,44.23,43.8,43.93,0.0
2015-02-17,43.67,43.9,43.54,43.84,0.0
2015-02-18,43.71,44.11,43.65,44.1,0.0
2015-02-19,44.13,44.37,44.0,44.11,0.0
2015-02-20,44.06,44.09,43.46,43.77,0.0
2015-02-23,43.46,43.88,43.3,43.78,0.0
2015-02-24,43.79,43.96,43.38,43.88,0.0
2015-02-25,43.83,44.09,43.38,43.73,0.0
2015-02-26,43.8,44.15,43.71,43.89,0.0
2015-02-27,43.77,44.11,43.68,43.82,0.0
2015-03-02,43.81,44.04,43.48,44.03,0.0
2015-03-03,43.83,43.88,43.17,43.38,0.0
2015-03-04,43.2,43.66,42.82,43.61,0.0
2015-03-05,43.66,43.89,43.26,43.8,0.0
2015-03-06,43.61,43.61,42.3,42.38,0.0
2015-03-09,42.25,42.79,42.19,42.69,0.0
2015-03-10,42.24,42.55,41.78,41.82,0.0
2015-03-11,41.93,42.16,41.41,41.47,0.0
2015-03-12,41.46,41.76,41.26,41.62,0.0
2015-03-13,41.54,42.47,41.51,42.38,0.0
2015-03-16,42.82,43.53,42.74,43.41,0.0
2015-03-17,43.11,43.34,42.86,42.87,0.0
2015-03-18,44.3,44.94,43.35,44.13,0.0
2015-03-19,44.0,44.49,44.0,44.16,0.0
2015-03-20,44.13,44.73,44.06,44.41,0.0
2015-03-23,44.34,44.62,44.16,44.25,0.0
2015-03-24,44.33,44.5,43.71,43.71,0.0
2015-03-25,43.68,43.75,42.93,42.93,0.0
2015-03-26,42.78,43.23,42.46,42.99,0.0
2015-03-27,42.93,43.12,42.42,42.64,0.0
2015-03-30,43.23,43.63,43.12,43.44,0.0
2015-03-31,43.31,43.57,43.13,43.15,0.0
2015-04-01,42.99,43.12,42.72,42.94,0.0
2015-04-02,42.99,43.11,42.48,42.62,0.15
2015-04-06,42.28,43.1,42.21,42.96,0.0
2015-04-07,42.99,43.48,42.94,42.96,0.0
2015-04-08,42.85,43.34,42.85,43.11,0.0
2015-04-09,42.97,43.31,42.74,43.2,0.0
2015-04-10,43.08,43.89,43.08,43.51,0.0
2015-04-13,43.55,43.79,43.03,43.08,0.0
2015-04-14,43.04,43.06,42.51,42.73,0.0
2015-04-15,42.95,44.19,42.83,43.99,0.0
2015-04-16,43.69,43.96,43.25,43.46,0.0
2015-04-17,43.06,43.4,42.86,43.0,0.0
2015-04-20,43.31,43.81,43.25,43.32,0.0
2015-04-21,43.51,43.87,43.4,43.42,0.0
